BOX_ID,x0,y0,z0,x1,y1,z1,SHELF_ID,BIN_ID,CAJA,DESCRIPCION,CANTIDAD
168,0.0,0.0,700.0,295.0,225.0,1050.0,3,75,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,295.0,0.0,700.0,590.0,225.0,1050.0,3,75,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,0.0,225.0,700.0,295.0,450.0,1050.0,3,75,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,590.0,0.0,700.0,815.0,350.0,995.0,3,75,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,295.0,225.0,700.0,590.0,450.0,1050.0,3,75,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,0.0,450.0,700.0,295.0,675.0,1050.0,3,75,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,590.0,350.0,700.0,815.0,700.0,995.0,3,75,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,295.0,450.0,700.0,590.0,675.0,1050.0,3,75,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
112,0.0,675.0,700.0,210.0,855.0,1000.0,3,75,CAJA #3,ES.MRBO.8.L,10
112,590.0,700.0,700.0,800.0,880.0,1000.0,3,75,CAJA #3,ES.MRBO.8.L,10
112,295.0,675.0,700.0,505.0,855.0,1000.0,3,75,CAJA #3,ES.MRBO.8.L,10
168,0.0,0.0,0.0,295.0,225.0,350.0,1,76,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,295.0,0.0,0.0,590.0,225.0,350.0,1,76,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,0.0,225.0,0.0,295.0,450.0,350.0,1,76,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,590.0,0.0,0.0,815.0,350.0,295.0,1,76,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,295.0,225.0,0.0,590.0,450.0,350.0,1,76,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,0.0,450.0,0.0,295.0,675.0,350.0,1,76,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,590.0,350.0,0.0,815.0,700.0,295.0,1,76,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,295.0,450.0,0.0,590.0,675.0,350.0,1,76,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
112,0.0,675.0,0.0,210.0,855.0,300.0,1,76,CAJA #3,ES.MRBO.8.L,10
112,590.0,700.0,0.0,800.0,880.0,300.0,1,76,CAJA #3,ES.MRBO.8.L,10
112,295.0,675.0,0.0,505.0,855.0,300.0,1,76,CAJA #3,ES.MRBO.8.L,10
168,0.0,0.0,350.0,295.0,225.0,700.0,2,76,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,295.0,0.0,350.0,590.0,225.0,700.0,2,76,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,0.0,225.0,350.0,295.0,450.0,700.0,2,76,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
168,590.0,0.0,350.0,815.0,350.0,645.0,2,76,CAJA #9,JGO COJINETE DOBLE.MRBO (MODELO NUEVO),100
239,295.0,225.0,350.0,590.0,450.0,700.0,2,76,CAJA #9,JGO COJINETE DOBLE.BO (STD),9
239,0.0,450.0,350.0,295.0,675.0,700.0,2,76,CAJA #9,JGO COJINETE DOBLE.BO (STD),9
239,590.0,350.0,350.0,815.0,700.0,645.0,2,76,CAJA #9,JGO COJINETE DOBLE.BO (STD),9
239,295.0,450.0,350.0,590.0,675.0,700.0,2,76,CAJA #9,JGO COJINETE DOBLE.BO (STD),9
112,0.0,675.0,350.0,210.0,855.0,650.0,2,76,CAJA #3,ES.MRBO.8.L,10
112,590.0,700.0,350.0,800.0,880.0,650.0,2,76,CAJA #3,ES.MRBO.8.L,10
113,295.0,675.0,350.0,505.0,855.0,650.0,2,76,CAJA #3,ES.MRBO.8.L,1
239,0.0,0.0,700.0,295.0,225.0,1050.0,3,76,CAJA #9,JGO COJINETE DOBLE.BO (STD),9
239,295.0,0.0,700.0,590.0,225.0,1050.0,3,76,CAJA #9,JGO COJINETE DOBLE.BO (STD),9
239,0.0,225.0,700.0,295.0,450.0,1050.0,3,76,CAJA #9,JGO COJINETE DOBLE.BO (STD),9
239,590.0,0.0,700.0,815.0,350.0,995.0,3,76,CAJA #9,JGO COJINETE DOBLE.BO (STD),9
239,295.0,225.0,700.0,590.0,450.0,1050.0,3,76,CAJA #9,JGO COJINETE DOBLE.BO (STD),9
240,0.0,450.0,700.0,295.0,675.0,1050.0,3,76,CAJA #9,CPO.VM50  A-000-000-1-A-XX-1-A-000,10
240,590.0,350.0,700.0,815.0,700.0,995.0,3,76,CAJA #9,CPO.VM50  A-000-000-1-A-XX-1-A-000,10
240,295.0,450.0,700.0,590.0,675.0,1050.0,3,76,CAJA #9,CPO.VM50  A-000-000-1-A-XX-1-A-000,10
166,0.0,675.0,700.0,210.0,855.0,1000.0,3,76,CAJA #3,EM.BOR.16.C19,10
166,590.0,700.0,700.0,800.0,880.0,1000.0,3,76,CAJA #3,EM.BOR.16.C19,10
166,295.0,675.0,700.0,505.0,855.0,1000.0,3,76,CAJA #3,EM.BOR.16.C19,10
240,0.0,0.0,0.0,295.0,225.0,350.0,1,77,CAJA #9,CPO.VM50  A-000-000-1-A-XX-1-A-000,10
240,295.0,0.0,0.0,590.0,225.0,350.0,1,77,CAJA #9,CPO.VM50  A-000-000-1-A-XX-1-A-000,10
240,0.0,225.0,0.0,295.0,450.0,350.0,1,77,CAJA #9,CPO.VM50  A-000-000-1-A-XX-1-A-000,10
240,590.0,0.0,0.0,815.0,350.0,295.0,1,77,CAJA #9,CPO.VM50  A-000-000-1-A-XX-1-A-000,10
240,295.0,225.0,0.0,590.0,450.0,350.0,1,77,CAJA #9,CPO.VM50  A-000-000-1-A-XX-1-A-000,10
240,0.0,450.0,0.0,295.0,675.0,350.0,1,77,CAJA #9,CPO.VM50  A-000-000-1-A-XX-1-A-000,10
240,590.0,350.0,0.0,815.0,700.0,295.0,1,77,CAJA #9,CPO.VM50  A-000-000-1-A-XX-1-A-000,10
241,295.0,450.0,0.0,590.0,675.0,350.0,1,77,CAJA #9,CPO.VM50  A-000-000-1-A-XX-1-A-000,10
